model,base_precision,attention_factor,cost,confidence_slope,subjective_offset,subjective_slope,prior_mean,prior_precision,study,rt_err,accuracy_err,loss
flat_prior,0,0,0.028072162039411784,0.014873521072935126,0,1,4.792466656895794,1e-8,1,0.002679914996260768,-2.535186642188547e-4,7.246216100290665e-6
main,0,0,0.02043359717856943,0.01268961003167923,0,1,4.792466656895794,0.11063508378939675,1,0.002679914996260768,3.059708016435181e-4,7.27556251864173e-6
zero_mean,0,0,0.01268961003167923,0.017433288221999896,0,1,0,0.11063508378939675,1,-0.003320085003739237,0.006425386834513547,5.230856040519419e-5
main,0,0,0.017433288221999896,0.014873521072935126,0,1,5.106039807824296,0.10509256504528146,2,-0.0021558662913739647,0.0038208852005532368,1.924692318208928e-5
nometa,0,0,0.014873521072935126,0.014873521072935126,0.06213905979620001,0,5.106039807824296,0.10509256504528146,2,-1.5586629137391838e-4,-5.532503457814641e-4,3.303802458939689e-7
zero_mean,0,0,0.01082636733874055,0.014873521072935126,0,1,0,0.10509256504528146,2,-0.0021558662913739647,-0.004858229598893482,2.8250154301847255e-5
