subject,val1,val2,conf1,conf2,pt1,pt2,choice,rt,order,initpresdur1,initpresdur2
1064,9.75,9.0,4.0,4.0,0.65,1.033,1,1.6827060994692147,shortfirst,0.18300471920520067,0.5498046679422259
1064,9.0,9.0,4.0,4.0,0.582,1.514,1,2.0951200579293072,shortfirst,0.2160346177406609,0.649855914991349
1064,1.0,1.0,2.0,2.0,1.373,0.384,2,1.7561051426455379,longfirst,0.5165152973495424,0.2500070505775511
1064,7.75,7.75,4.0,3.0,0.983,0.439,1,1.4213791070505977,longfirst,0.4664507298730314,0.18304226035252213
1064,8.25,8.25,4.0,5.0,1.162,0.533,2,1.6943031996488571,longfirst,0.5334083759225905,0.2997497017495334
1064,0.25,0.75,3.0,4.0,0.68,1.115,1,1.794221367686987,shortfirst,0.2665116721764207,0.5159367211163044
1064,3.75,3.75,3.0,2.0,0.399,0.766,2,1.1642382880672812,shortfirst,0.28296528896316886,0.7661506677977741
1064,9.75,9.75,4.0,5.0,0.467,1.123,1,1.5898826317861676,shortfirst,0.23361926199868321,0.63291419390589
1064,2.0,0.0,5.0,5.0,0.484,0.884,1,1.3681320925243199,shortfirst,0.2673381087370217,0.5321771800518036
1064,2.5,2.5,2.0,3.0,0.567,1.084,1,1.6502264929004014,shortfirst,0.3333707810379565,0.48273761197924614
1064,9.5,9.5,5.0,5.0,0.55,0.828,2,1.3771734577603638,shortfirst,0.26636639004573226,0.3000121875666082
1064,3.75,3.75,4.0,4.0,1.922,0.682,1,2.6045472021214664,longfirst,0.5671339049004018,0.29949625907465816
1064,6.0,5.75,3.0,3.0,1.887,0.718,2,2.6041551497764885,longfirst,0.5656524896621704,0.1998761366121471
1064,0.75,6.25,4.0,3.0,0.617,1.15,1,1.7658046130090952,shortfirst,0.217006825376302,0.5670561757870018
1064,0.25,0.25,4.0,1.0,1.265,0.583,2,1.847815633751452,longfirst,0.399507459718734,0.2171975690871477
1064,5.25,5.25,3.0,4.0,2.187,0.685,2,2.871822731103748,longfirst,0.549658021889627,0.23418467910960317
1064,1.0,1.0,4.0,2.0,1.747,0.467,1,2.2131206658668816,longfirst,0.5664975391700864,0.26621107291430235
1064,0.0,0.0,1.0,5.0,1.566,0.417,1,1.9815917601808906,longfirst,0.5330952750518918,0.199940443970263
1064,0.0,0.0,4.0,4.0,0.799,1.656,1,2.4543636250309646,shortfirst,0.3156849639490247,0.5661636330187321
1064,0.75,0.25,4.0,5.0,0.848,2.015,2,2.8624439956620336,shortfirst,0.2331034243106842,0.517360060941428
1064,1.0,7.5,4.0,4.0,0.724,1.05,2,1.7730560088530183,shortfirst,0.2503785169683397,0.5493122590705752
1064,0.0,0.0,5.0,5.0,1.824,0.567,1,2.390067762695253,longfirst,0.6824272433295846,0.13400915311649442
1064,9.0,9.0,4.0,4.0,0.665,1.218,2,1.8817483368329704,shortfirst,0.19944204110652208,0.46725898794829845
1064,0.5,0.5,2.0,4.0,2.356,0.715,1,3.0711279888637364,longfirst,0.600505038164556,0.14949163515120745
1064,3.25,3.0,3.0,4.0,0.55,1.319,2,1.8680531536228955,shortfirst,0.19979118090122938,0.5157269230112433
1064,8.25,9.0,4.0,4.0,0.65,1.282,2,1.9313779398798943,shortfirst,0.20098951971158385,0.4322723560035229
1064,7.0,8.25,4.0,4.0,0.668,1.387,1,2.0549898771569133,shortfirst,0.23337352462112904,0.5165707832202315
1064,0.75,0.75,4.0,5.0,1.567,0.649,1,2.215042340103537,longfirst,0.48292712215334177,0.18374458886682987
1064,0.0,0.75,4.0,5.0,0.617,1.558,2,2.1738606905564666,shortfirst,0.13302977196872234,0.6502550160512328
1064,9.5,5.75,3.0,3.0,1.199,0.378,2,1.5760974287986755,longfirst,0.4991834620013833,0.21638878528028727
1064,0.25,0.0,1.0,5.0,1.622,0.517,1,2.138324082829058,longfirst,0.43288980796933174,0.18349084816873074
1064,1.5,1.5,4.0,1.0,0.799,1.823,2,2.6222773669287562,shortfirst,0.166194723919034,0.5171864596195519
1064,0.25,0.25,4.0,4.0,0.782,1.818,2,2.5989129045046866,shortfirst,0.3490997198969126,0.550082185305655
1064,0.0,0.0,5.0,5.0,0.884,2.109,2,2.992546319961548,shortfirst,0.2843719841912389,0.41557555506005883
1064,6.75,5.25,4.0,1.0,0.633,1.45,1,2.082475510891527,shortfirst,0.26722366781905293,0.46682035829871893
1064,8.75,1.0,4.0,4.0,0.763,1.15,1,1.9116284819319844,shortfirst,0.24983129324391484,0.66619629599154
1064,0.0,8.0,5.0,4.0,0.533,1.063,2,1.59558821702376,shortfirst,0.2665118961594999,0.5502091501839459
1064,5.25,5.25,1.0,4.0,0.998,1.806,1,2.804034103639424,shortfirst,0.2830877061933279,0.5663179131224751
1064,7.5,7.5,4.0,3.0,0.977,1.565,1,2.541796911973506,shortfirst,0.30072723608464,0.599518810864538
1064,9.0,9.0,2.0,4.0,2.066,0.753,1,2.8178348960354924,longfirst,0.56635357812047,0.23338363878428936
1064,4.25,4.25,3.0,3.0,0.433,1.378,1,1.8104531546123326,shortfirst,0.26599448500201106,0.5667642410844564
1064,7.75,7.75,4.0,3.0,0.782,1.862,1,2.643043567892164,shortfirst,0.23327754624187946,0.7172432877123356
1064,4.75,0.0,2.0,2.0,1.657,0.649,1,2.305722367949784,longfirst,0.2992601627483964,0.1997656710445881
1064,1.0,1.0,4.0,4.0,1.88,0.599,2,2.478667121846229,longfirst,0.48357914527878165,0.19957969896495342
1064,6.5,6.5,2.0,4.0,1.518,0.4,2,1.9175842190161347,longfirst,0.6172434063628316,0.18291898677125573
1064,2.5,9.25,3.0,4.0,0.45,1.039,2,1.4885301985777915,shortfirst,0.21665856102481484,0.3323676558211446
1064,0.0,8.75,5.0,4.0,0.78,1.066,2,1.845917138736695,shortfirst,0.2666382850147784,0.5000390862114727
1064,7.5,1.25,3.0,3.0,1.051,1.251,1,2.301235086750239,shortfirst,0.19997500907629728,0.5339489891193807
1064,0.75,0.0,4.0,5.0,0.567,1.364,1,1.9305194402113557,shortfirst,0.1170365922152996,0.515799580141902
1064,0.0,0.0,5.0,5.0,2.015,0.855,2,2.8700621128082275,longfirst,0.4158215057104826,0.20073621766641736
1064,0.0,0.0,5.0,5.0,0.977,2.182,1,3.158642149530351,shortfirst,0.19999143201857805,0.549342114944011
1064,7.5,9.0,4.0,4.0,1.733,0.772,2,2.505036249756813,longfirst,0.46682868618518114,0.2326973769813776
1064,7.25,7.25,3.0,4.0,2.547,1.1,1,3.6463595908135176,longfirst,0.5992578081786633,0.23318740166723728
1064,2.75,5.75,1.0,3.0,0.732,1.89,2,2.621594005730003,shortfirst,0.2156077502295375,0.5496897622942924
1064,9.0,9.0,3.0,4.0,1.882,0.782,2,2.662943315692246,longfirst,0.600156641099602,0.26581141306087375
1064,4.75,0.0,3.0,5.0,1.446,0.584,1,2.029072232078761,longfirst,0.6325451419688761,0.29998671216890216
1064,6.0,10.0,3.0,5.0,1.633,0.7,2,2.3328970917500556,longfirst,0.5005999030545354,0.26623603189364076
1064,8.0,8.0,2.0,4.0,1.529,0.584,2,2.1117698596790433,longfirst,0.5495204231701791,0.3166889729909599
1064,0.75,6.5,1.0,2.0,1.412,0.433,2,1.844991798978299,longfirst,0.4165348131209612,0.26652810210362077
1064,2.5,2.5,3.0,4.0,0.799,1.813,2,2.6115216929465532,shortfirst,0.1664724531583488,0.5831900839693844
1064,7.5,7.75,4.0,4.0,1.611,0.433,1,2.0433784378692508,longfirst,0.46602589869871736,0.16631035413593054
1064,3.5,10.0,3.0,5.0,0.466,0.738,1,1.2029946339316666,shortfirst,0.23292891075834632,0.26657391991466284
1064,4.25,4.25,2.0,2.0,1.484,0.602,2,2.0853847791440785,longfirst,0.5173113592900336,0.2160967611707747
1064,3.25,3.25,1.0,4.0,0.7,1.215,1,1.9148462628945708,shortfirst,0.283437417820096,0.6825035060755908
1064,0.0,0.0,5.0,4.0,0.667,1.349,1,2.014773732982576,shortfirst,0.2667277902364731,0.5833678301423788
1064,3.5,3.5,4.0,4.0,0.382,1.178,2,1.559714269824326,shortfirst,0.21653050789609551,0.5169595102779567
1064,3.75,4.5,1.0,2.0,0.881,1.682,2,2.5622783578000963,shortfirst,0.3672757507301867,0.5656142039224505
1064,6.25,0.0,3.0,5.0,1.162,0.283,1,1.4441349976696074,longfirst,0.6000200659036636,0.28284928295761347
