subject,val1,val2,conf1,conf2,pt1,pt2,choice,rt,order,initpresdur1,initpresdur2
1009,9.25,9.5,4.177831159917639,4.177831159917639,0.814,1.425,1,2.4779913250240497,shortfirst,0.1729395335041903,0.3666469270263607
1009,4.25,3.5,4.177831159917639,4.177831159917639,0.724,1.323,1,2.2506900840089656,shortfirst,0.18679933225388784,0.33359891230694105
1009,2.5,7.5,4.177831159917639,4.177831159917639,1.615,0.611,1,2.4328177280258387,longfirst,0.38254397186975564,0.14894291565321127
1009,1.75,2.0,4.177831159917639,4.177831159917639,0.967,2.187,2,3.4562032090325374,shortfirst,0.12412304344552222,0.5009734159125951
1009,3.0,3.0,4.177831159917639,4.177831159917639,1.054,2.547,2,3.9104045149870217,shortfirst,0.17098679989290239,0.7136308422805309
1009,7.5,7.5,4.177831159917639,4.177831159917639,0.713,1.658,2,2.580465748003917,shortfirst,0.20675877223792186,0.48609599899595574
1009,3.25,7.0,4.177831159917639,4.177831159917639,2.567,1.093,2,3.997364387003472,longfirst,0.4344440610496094,0.21571813816553742
1009,7.75,9.5,4.177831159917639,4.177831159917639,1.43,0.406,2,1.9831783479894511,longfirst,0.5008934115676568,0.24184749454186474
1009,8.25,4.0,4.177831159917639,4.177831159917639,1.689,0.68,1,2.575437243009219,longfirst,0.49795358389048555,0.21394449999562254
1009,5.75,8.5,4.177831159917639,4.177831159917639,2.647,0.715,2,3.6335537520062644,longfirst,0.5636344947604133,0.26550401707051313
1009,5.0,5.0,4.177831159917639,4.177831159917639,1.121,3.248,1,4.7365928680228535,shortfirst,0.1672646162458608,0.39193381487883056
1009,8.5,7.75,4.177831159917639,4.177831159917639,1.465,0.346,2,1.9493761729972903,longfirst,0.450227019478812,0.1440641681197839
1009,2.5,6.75,4.177831159917639,4.177831159917639,0.747,1.335,2,2.281168695015367,shortfirst,0.19554354260967852,0.2991149678210845
1009,7.0,6.5,4.177831159917639,4.177831159917639,1.67,0.523,2,2.4219248039880767,longfirst,0.45871422713812016,0.174691840717573
1009,7.5,4.0,4.177831159917639,4.177831159917639,0.708,1.142,1,1.9887739190307911,shortfirst,0.29687292982633773,0.6635068218520641
1009,5.5,5.5,4.177831159917639,4.177831159917639,1.805,0.668,1,2.6794497460359707,longfirst,0.5307499177479849,0.171383727175747
1009,10.0,10.0,4.177831159917639,4.177831159917639,0.362,0.903,2,1.365506299014669,shortfirst,0.18666884319380544,0.5701672176919399
1009,5.0,5.0,4.177831159917639,4.177831159917639,2.88,1.196,1,4.439448347024154,longfirst,0.6106851110391345,0.1386217138892077
1009,5.5,5.5,4.177831159917639,4.177831159917639,0.731,1.576,2,2.5432802210270893,shortfirst,0.14729836428999857,0.4928460511083421
1009,4.25,4.25,4.177831159917639,4.177831159917639,1.15,0.324,2,1.5780147690384183,longfirst,0.5825215151517587,0.2115380571136156
1009,4.5,4.5,4.177831159917639,4.177831159917639,2.118,0.583,2,2.91502472301363,longfirst,0.585635159733999,0.21342517267661978
1009,7.5,7.5,4.177831159917639,4.177831159917639,1.481,0.533,2,2.1525693840230815,longfirst,0.5469939524448619,0.26371755664125185
1009,7.5,3.75,4.177831159917639,4.177831159917639,0.926,0.085,1,1.0833871150098275,longfirst,0.4090570763541887,0.08471974738674076
1009,6.5,3.25,4.177831159917639,4.177831159917639,0.998,0.31,1,1.4243127960362472,longfirst,0.5390797808258214,0.20101618381862188
1009,3.5,3.75,4.177831159917639,4.177831159917639,1.22,0.321,2,1.6811990439891815,longfirst,0.5221373102357629,0.13127606728925706
1009,6.75,5.75,4.177831159917639,4.177831159917639,0.493,0.532,1,1.1331272170355078,shortfirst,0.2187867226293141,0.3654587034339225
1009,7.75,7.75,4.177831159917639,4.177831159917639,0.487,0.379,1,0.9427956430008635,shortfirst,0.29352264126961264,0.3791009475895149
1009,6.75,6.75,4.177831159917639,4.177831159917639,0.359,0.489,1,0.9291277669835836,shortfirst,0.1616350737939476,0.4892799895215684
1009,2.25,2.25,4.177831159917639,4.177831159917639,1.79,0.775,1,2.8043598409858532,longfirst,0.4036011883421225,0.08104138236642351
1009,3.25,9.0,4.177831159917639,4.177831159917639,0.805,1.956,2,3.0298925320093986,shortfirst,0.17493968518382363,0.4294923576458083
1009,7.5,7.5,4.177831159917639,4.177831159917639,0.526,1.425,2,2.133733568014577,shortfirst,0.15547519833624507,0.5139061858656017
1009,7.25,7.25,4.177831159917639,4.177831159917639,0.391,0.639,2,1.097275869018631,shortfirst,0.19282271448815097,0.6393341474921038
1009,2.25,8.5,4.177831159917639,4.177831159917639,0.567,1.054,2,1.7908070160192437,shortfirst,0.1811433221130181,0.4338556940528954
1009,8.5,8.25,4.177831159917639,4.177831159917639,1.506,0.224,1,1.8876466730143875,longfirst,0.6253768571066662,0.07399981802800318
1009,6.5,6.5,4.177831159917639,4.177831159917639,2.624,0.822,1,3.8044698640005663,longfirst,0.25760428661549706,0.18880842857505917
1009,3.25,3.0,4.177831159917639,4.177831159917639,0.908,1.653,2,2.847434282011818,shortfirst,0.20700357642628717,0.3137233334122691
1009,6.0,6.0,4.177831159917639,4.177831159917639,0.932,2.878,1,4.149872674024664,shortfirst,0.1277997967061001,0.5612340292237373
1009,7.5,7.75,4.177831159917639,4.177831159917639,0.581,0.779,2,1.4979726760066114,shortfirst,0.2045906795112957,0.4192392953491253
1009,7.5,4.0,4.177831159917639,4.177831159917639,0.575,1.182,1,1.92693140800111,shortfirst,0.17645443818281173,0.6751295626427677
1009,5.75,9.0,4.177831159917639,4.177831159917639,2.514,0.939,2,3.7224638650077395,longfirst,0.5082822847199424,0.2383095740169381
1009,5.0,9.25,4.177831159917639,4.177831159917639,0.794,1.514,2,2.517976973002078,shortfirst,0.20220755325960066,0.4685862325254348
