v1,v2,c1,c2,choice,rt
-3,-3,0.1,0.1,0.4128,45.2642
-2,-3,0.1,0.1,0.3706,46.2094
-1,-3,0.1,0.1,0.3354,45.2096
0,-3,0.1,0.1,0.2994,44.3292
1,-3,0.1,0.1,0.2666,43.5638
2,-3,0.1,0.1,0.231,42.9886
3,-3,0.1,0.1,0.201,41.4944
-3,-2,0.1,0.1,0.4876,46.1934
-2,-2,0.1,0.1,0.4544,47.1588
-1,-2,0.1,0.1,0.3996,47.3646
0,-2,0.1,0.1,0.363,46.711
1,-2,0.1,0.1,0.3366,44.7046
2,-2,0.1,0.1,0.2954,44.1692
3,-2,0.1,0.1,0.2568,43.29
-3,-1,0.1,0.1,0.5544,46.7684
-2,-1,0.1,0.1,0.5298,47.5952
-1,-1,0.1,0.1,0.4778,47.9192
0,-1,0.1,0.1,0.4266,46.761
1,-1,0.1,0.1,0.3826,47.3564
2,-1,0.1,0.1,0.3332,45.6212
3,-1,0.1,0.1,0.3178,44.952
-3,0,0.1,0.1,0.6286,45.4652
-2,0,0.1,0.1,0.5706,46.7758
-1,0,0.1,0.1,0.5486,47.0156
0,0,0.1,0.1,0.4898,47.3934
1,0,0.1,0.1,0.4458,47.223
2,0,0.1,0.1,0.4228,46.5148
3,0,0.1,0.1,0.3828,45.96
-3,1,0.1,0.1,0.6962,44.9816
-2,1,0.1,0.1,0.6476,45.5446
-1,1,0.1,0.1,0.6098,46.0384
0,1,0.1,0.1,0.5652,47.2018
1,1,0.1,0.1,0.5346,46.4146
2,1,0.1,0.1,0.4814,45.9622
3,1,0.1,0.1,0.443,45.7406
-3,2,0.1,0.1,0.7456,42.2062
-2,2,0.1,0.1,0.7074,44.2956
-1,2,0.1,0.1,0.6766,45.1988
0,2,0.1,0.1,0.6454,45.7998
1,2,0.1,0.1,0.599,46.6446
2,2,0.1,0.1,0.5514,46.4354
3,2,0.1,0.1,0.5078,46.2524
-3,3,0.1,0.1,0.8026,40.6346
-2,3,0.1,0.1,0.769,43.2472
-1,3,0.1,0.1,0.7314,43.341
0,3,0.1,0.1,0.7034,44.536
1,3,0.1,0.1,0.6684,44.6406
2,3,0.1,0.1,0.6202,46.5836
3,3,0.1,0.1,0.5884,45.5844
-3,-3,0.4,0.1,0.6884,79.979
-2,-3,0.4,0.1,0.564,82.6392
