v1,v2,c1,c2,choice,rt
-3,-3,0.1,0.1,0.4212,45.6542
-2,-3,0.1,0.1,0.365,44.2138
-1,-3,0.1,0.1,0.3396,43.5364
0,-3,0.1,0.1,0.2996,44.6456
1,-3,0.1,0.1,0.2648,42.6266
2,-3,0.1,0.1,0.2436,42.5316
3,-3,0.1,0.1,0.2038,40.5914
-3,-2,0.1,0.1,0.4842,46.8232
-2,-2,0.1,0.1,0.4486,46.0956
-1,-2,0.1,0.1,0.4072,45.8552
0,-2,0.1,0.1,0.3574,45.076
1,-2,0.1,0.1,0.3226,44.734
2,-2,0.1,0.1,0.2976,43.5052
3,-2,0.1,0.1,0.254,42.4978
-3,-1,0.1,0.1,0.556,45.5672
-2,-1,0.1,0.1,0.5086,46.4068
-1,-1,0.1,0.1,0.4716,47.0566
0,-1,0.1,0.1,0.4336,46.3338
1,-1,0.1,0.1,0.4022,45.8278
2,-1,0.1,0.1,0.3418,46.7968
3,-1,0.1,0.1,0.3116,44.1452
-3,0,0.1,0.1,0.6108,45.8588
-2,0,0.1,0.1,0.5816,45.9174
-1,0,0.1,0.1,0.5556,46.8808
0,0,0.1,0.1,0.4922,46.6258
1,0,0.1,0.1,0.4592,46.908
2,0,0.1,0.1,0.407,46.678
3,0,0.1,0.1,0.3772,45.245
-3,1,0.1,0.1,0.6946,44.3768
-2,1,0.1,0.1,0.6332,45.0468
-1,1,0.1,0.1,0.608,46.6882
0,1,0.1,0.1,0.592,46.7
1,1,0.1,0.1,0.5432,46.6946
2,1,0.1,0.1,0.4944,47.0606
3,1,0.1,0.1,0.4406,44.851
-3,2,0.1,0.1,0.7472,42.1776
-2,2,0.1,0.1,0.7128,43.842
-1,2,0.1,0.1,0.669,44.4646
0,2,0.1,0.1,0.6288,46.2688
1,2,0.1,0.1,0.6048,46.0004
2,2,0.1,0.1,0.55,46.3716
3,2,0.1,0.1,0.5136,45.3926
-3,3,0.1,0.1,0.7934,40.775
-2,3,0.1,0.1,0.7706,42.0714
-1,3,0.1,0.1,0.743,43.0298
0,3,0.1,0.1,0.6966,43.733
1,3,0.1,0.1,0.6772,44.7864
2,3,0.1,0.1,0.622,43.803
3,3,0.1,0.1,0.5814,45.4388
-3,-3,0.4,0.1,0.6814,77.911
-2,-3,0.4,0.1,0.5546,79.7392
-1,-3,0.4,0.1,0.4252,81.2202
0,-3,0.4,0.1,0.281,79.4712
1,-3,0.4,0.1,0.1956,73.3654
2,-3,0.4,0.1,0.1208,64.203
3,-3,0.4,0.1,0.0728,55.914
-3,-2,0.4,0.1,0.7616,75.6852
-2,-2,0.4,0.1,0.625,80.5346
-1,-2,0.4,0.1,0.4928,83.5806
0,-2,0.4,0.1,0.348,80.6628
1,-2,0.4,0.1,0.2382,76.2478
2,-2,0.4,0.1,0.1534,66.9816
3,-2,0.4,0.1,0.0934,60.9214
-3,-1,0.4,0.1,0.811,70.4702
-2,-1,0.4,0.1,0.701,78.0962
-1,-1,0.4,0.1,0.5598,83.6068
0,-1,0.4,0.1,0.4394,83.749
1,-1,0.4,0.1,0.2952,78.3842
2,-1,0.4,0.1,0.1986,71.4552
3,-1,0.4,0.1,0.1152,63.2712
-3,0,0.4,0.1,0.8408,67.7014
-2,0,0.4,0.1,0.7586,77.5988
-1,0,0.4,0.1,0.6396,81.314
0,0,0.4,0.1,0.4992,83.763
1,0,0.4,0.1,0.3618,80.9736
2,0,0.4,0.1,0.2506,77.0138
3,0,0.4,0.1,0.1572,68.4348
-3,1,0.4,0.1,0.8818,63.7466
-2,1,0.4,0.1,0.8136,72.4108
-1,1,0.4,0.1,0.7054,79.5356
0,1,0.4,0.1,0.578,82.3836
1,1,0.4,0.1,0.4422,81.7284
2,1,0.4,0.1,0.308,79.2486
3,1,0.4,0.1,0.2046,71.0406
-3,2,0.4,0.1,0.908,59.8624
-2,2,0.4,0.1,0.8386,69.3354
-1,2,0.4,0.1,0.762,75.4216
0,2,0.4,0.1,0.6534,82.7794
1,2,0.4,0.1,0.512,82.3226
2,2,0.4,0.1,0.3768,79.3784
3,2,0.4,0.1,0.2578,75.4094
-3,3,0.4,0.1,0.9242,55.5332
-2,3,0.4,0.1,0.8762,63.8966
-1,3,0.4,0.1,0.8066,72.3844
0,3,0.4,0.1,0.7158,78.0114
1,3,0.4,0.1,0.5902,81.8708
2,3,0.4,0.1,0.4558,81.95
3,3,0.4,0.1,0.3202,77.6438
-3,-3,0.7,0.1,0.8274,74.173
-2,-3,0.7,0.1,0.6714,89.1434
-1,-3,0.7,0.1,0.4914,94.3924
0,-3,0.7,0.1,0.3054,88.711
1,-3,0.7,0.1,0.1618,76.599
2,-3,0.7,0.1,0.0734,63.8336
3,-3,0.7,0.1,0.0282,50.7442
-3,-2,0.7,0.1,0.8806,70.976
-2,-2,0.7,0.1,0.7408,84.4578
-1,-2,0.7,0.1,0.548,93.5362
0,-2,0.7,0.1,0.37,90.8244
1,-2,0.7,0.1,0.207,80.9486
2,-2,0.7,0.1,0.1,67.2382
3,-2,0.7,0.1,0.0386,55.598
-3,-1,0.7,0.1,0.9008,65.8244
-2,-1,0.7,0.1,0.8036,79.95
-1,-1,0.7,0.1,0.6398,90.1044
0,-1,0.7,0.1,0.4278,93.7024
1,-1,0.7,0.1,0.2498,84.4758
2,-1,0.7,0.1,0.1164,72.4468
3,-1,0.7,0.1,0.0576,59.9074
-3,0,0.7,0.1,0.9226,62.9306
-2,0,0.7,0.1,0.8378,75.8598
-1,0,0.7,0.1,0.6846,90.51
0,0,0.7,0.1,0.4984,93.2992
1,0,0.7,0.1,0.321,88.7334
2,0,0.7,0.1,0.1642,75.8602
3,0,0.7,0.1,0.0646,61.4438
