v1,v2,c1,c2,choice,rt
-3,-3,0.1,0.1,0.4184,45.9566
-2,-3,0.1,0.1,0.3814,46.724
-1,-3,0.1,0.1,0.3304,45.5052
0,-3,0.1,0.1,0.299,45.0304
1,-3,0.1,0.1,0.2678,43.5678
2,-3,0.1,0.1,0.2368,42.8882
3,-3,0.1,0.1,0.2044,41.5094
-3,-2,0.1,0.1,0.484,45.7952
-2,-2,0.1,0.1,0.4484,45.999
-1,-2,0.1,0.1,0.401,47.155
0,-2,0.1,0.1,0.3574,46.1892
1,-2,0.1,0.1,0.3216,45.754
2,-2,0.1,0.1,0.289,43.561
3,-2,0.1,0.1,0.2512,42.5012
-3,-1,0.1,0.1,0.5408,46.6108
-2,-1,0.1,0.1,0.505,46.484
-1,-1,0.1,0.1,0.4802,46.8092
0,-1,0.1,0.1,0.4306,46.6488
1,-1,0.1,0.1,0.386,46.1872
2,-1,0.1,0.1,0.3502,44.9576
3,-1,0.1,0.1,0.302,44.0902
-3,0,0.1,0.1,0.6294,46.1406
-2,0,0.1,0.1,0.5856,45.722
-1,0,0.1,0.1,0.5366,46.3176
0,0,0.1,0.1,0.5028,47.5398
1,0,0.1,0.1,0.4578,47.5352
2,0,0.1,0.1,0.4196,46.362
3,0,0.1,0.1,0.3796,45.7116
-3,1,0.1,0.1,0.6838,45.0008
-2,1,0.1,0.1,0.6472,44.8654
-1,1,0.1,0.1,0.6122,47.0218
0,1,0.1,0.1,0.5726,46.0864
1,1,0.1,0.1,0.5252,46.1538
2,1,0.1,0.1,0.4838,47.7106
3,1,0.1,0.1,0.4488,47.925
-3,2,0.1,0.1,0.7462,42.6522
-2,2,0.1,0.1,0.7224,43.6176
-1,2,0.1,0.1,0.6756,44.4674
0,2,0.1,0.1,0.6418,45.748
1,2,0.1,0.1,0.5956,45.722
2,2,0.1,0.1,0.5582,46.4572
3,2,0.1,0.1,0.518,45.9772
-3,3,0.1,0.1,0.8034,40.8148
-2,3,0.1,0.1,0.772,41.7174
-1,3,0.1,0.1,0.7388,44.2346
0,3,0.1,0.1,0.698,44.9562
1,3,0.1,0.1,0.6716,45.1202
2,3,0.1,0.1,0.6138,44.9966
3,3,0.1,0.1,0.5832,45.2962
-3,-3,0.4,0.1,0.69,78.6074
-2,-3,0.4,0.1,0.5534,82.5876
-1,-3,0.4,0.1,0.4166,83.0764
0,-3,0.4,0.1,0.2996,80.7502
1,-3,0.4,0.1,0.1862,72.2586
2,-3,0.4,0.1,0.11,65.2816
3,-3,0.4,0.1,0.0608,56.6728
-3,-2,0.4,0.1,0.7416,76.254
-2,-2,0.4,0.1,0.6248,82.9326
-1,-2,0.4,0.1,0.4944,84.1466
0,-2,0.4,0.1,0.3514,81.4748
1,-2,0.4,0.1,0.2382,75.8854
2,-2,0.4,0.1,0.1514,69.1734
3,-2,0.4,0.1,0.0902,61.0044
-3,-1,0.4,0.1,0.7958,71.12
-2,-1,0.4,0.1,0.7008,80.804
-1,-1,0.4,0.1,0.5596,83.6974
0,-1,0.4,0.1,0.4196,84.724
1,-1,0.4,0.1,0.2872,79.841
2,-1,0.4,0.1,0.1952,72.424
3,-1,0.4,0.1,0.1226,63.3964
-3,0,0.4,0.1,0.849,66.8684
-2,0,0.4,0.1,0.7524,77.6786
-1,0,0.4,0.1,0.6332,83.4616
0,0,0.4,0.1,0.4956,84.6694
1,0,0.4,0.1,0.356,84.4342
2,0,0.4,0.1,0.2502,76.551
3,0,0.4,0.1,0.1516,68.2278
-3,1,0.4,0.1,0.8816,63.2332
-2,1,0.4,0.1,0.806,72.2422
-1,1,0.4,0.1,0.7066,77.6826
0,1,0.4,0.1,0.5806,85.649
1,1,0.4,0.1,0.439,85.8656
2,1,0.4,0.1,0.3026,79.6376
3,1,0.4,0.1,0.1978,72.1558
-3,2,0.4,0.1,0.9146,60.1868
-2,2,0.4,0.1,0.8408,69.1166
-1,2,0.4,0.1,0.7684,76.2816
0,2,0.4,0.1,0.6376,83.709
1,2,0.4,0.1,0.5162,83.7412
2,2,0.4,0.1,0.3816,81.7188
3,2,0.4,0.1,0.2502,75.8556
-3,3,0.4,0.1,0.9376,56.4874
-2,3,0.4,0.1,0.8858,64.7838
-1,3,0.4,0.1,0.808,73.1346
0,3,0.4,0.1,0.7158,79.0732
1,3,0.4,0.1,0.5832,83.233
2,3,0.4,0.1,0.448,82.8334
3,3,0.4,0.1,0.3248,79.9218
-3,-3,0.7,0.1,0.8352,74.6398
-2,-3,0.7,0.1,0.6942,88.2482
-1,-3,0.7,0.1,0.4774,92.2684
0,-3,0.7,0.1,0.2856,89.9886
1,-3,0.7,0.1,0.1592,78.8286
2,-3,0.7,0.1,0.073,63.9432
3,-3,0.7,0.1,0.0322,52.3056
-3,-2,0.7,0.1,0.8732,70.5316
-2,-2,0.7,0.1,0.7434,84.434
-1,-2,0.7,0.1,0.5492,92.838
0,-2,0.7,0.1,0.3654,92.2588
1,-2,0.7,0.1,0.1954,82.2078
2,-2,0.7,0.1,0.0942,69.5292
3,-2,0.7,0.1,0.0402,56.0002
-3,-1,0.7,0.1,0.9044,66.8764
