v1,v2,c1,c2,choice,rt
1,0,0.7,0.1,0.301,104.0918
2,0,0.7,0.1,0.1594,89.348
3,0,0.7,0.1,0.0602,72.83
-3,1,0.7,0.1,0.9582,63.7988
-2,1,0.7,0.1,0.9018,80.3356
-1,1,0.7,0.1,0.781,95.5652
0,1,0.7,0.1,0.5872,107.5238
1,1,0.7,0.1,0.3732,108.881
2,1,0.7,0.1,0.1962,94.616
3,1,0.7,0.1,0.0854,78.1296
-3,2,0.7,0.1,0.972,60.2164
-2,2,0.7,0.1,0.9218,75.5762
-1,2,0.7,0.1,0.824,94.014
0,2,0.7,0.1,0.6496,103.5662
1,2,0.7,0.1,0.4604,108.8778
2,2,0.7,0.1,0.2634,99.641
3,2,0.7,0.1,0.1202,82.3154
-3,3,0.7,0.1,0.9774,55.3888
-2,3,0.7,0.1,0.9452,70.7652
-1,3,0.7,0.1,0.8676,86.9646
0,3,0.7,0.1,0.7236,101.1914
1,3,0.7,0.1,0.5374,107.6574
2,3,0.7,0.1,0.334,102.9732
3,3,0.7,0.1,0.157,89.0246
-3,-3,1.0,0.1,0.9196,72.8296
-2,-3,1.0,0.1,0.7768,95.0198
-1,-3,1.0,0.1,0.523,110.1778
0,-3,1.0,0.1,0.2988,105.2068
1,-3,1.0,0.1,0.132,88.4468
2,-3,1.0,0.1,0.045,70.8118
3,-3,1.0,0.1,0.0152,54.0422
-3,-2,1.0,0.1,0.946,68.229
-2,-2,1.0,0.1,0.8344,91.075
-1,-2,1.0,0.1,0.6024,110.0836
0,-2,1.0,0.1,0.3656,109.9006
1,-2,1.0,0.1,0.1626,94.788
2,-2,1.0,0.1,0.0598,74.218
3,-2,1.0,0.1,0.0204,57.9632
-3,-1,1.0,0.1,0.9564,64.5964
-2,-1,1.0,0.1,0.8716,84.9912
-1,-1,1.0,0.1,0.6842,106.1548
0,-1,1.0,0.1,0.4302,111.931
1,-1,1.0,0.1,0.2084,100.3242
2,-1,1.0,0.1,0.08,80.8666
3,-1,1.0,0.1,0.0238,61.1326
-3,0,1.0,0.1,0.977,59.0466
-2,0,1.0,0.1,0.9102,80.199
-1,0,1.0,0.1,0.7518,102.3638
0,0,1.0,0.1,0.5126,112.1352
1,0,1.0,0.1,0.2796,105.069
2,0,1.0,0.1,0.1098,84.219
3,0,1.0,0.1,0.0336,65.6994
-3,1,1.0,0.1,0.984,55.9262
-2,1,1.0,0.1,0.9354,75.2344
-1,1,1.0,0.1,0.808,96.8784
0,1,1.0,0.1,0.5874,111.716
1,1,1.0,0.1,0.3246,109.1616
2,1,1.0,0.1,0.1346,90.9704
3,1,1.0,0.1,0.0452,69.793
-3,2,1.0,0.1,0.9874,53.3096
-2,2,1.0,0.1,0.9488,70.3382
-1,2,1.0,0.1,0.8434,91.6088
0,2,1.0,0.1,0.6626,107.8534
1,2,1.0,0.1,0.402,111.085
2,2,1.0,0.1,0.1858,94.6448
3,2,1.0,0.1,0.0622,73.0234
-3,3,1.0,0.1,0.9872,49.3018
-2,3,1.0,0.1,0.9646,66.7808
-1,3,1.0,0.1,0.8838,85.9344
0,3,1.0,0.1,0.7272,104.089
1,3,1.0,0.1,0.4836,111.285
2,3,1.0,0.1,0.225,98.9736
3,3,1.0,0.1,0.088,78.446
-3,-3,0.1,0.4,0.119,51.904
-2,-3,0.1,0.4,0.106,51.06
-1,-3,0.1,0.4,0.0916,48.7972
0,-3,0.1,0.4,0.0844,48.1334
1,-3,0.1,0.4,0.0628,47.0502
2,-3,0.1,0.4,0.0636,46.4106
